"id","codigo","descricao"
"__export__.sped_cnae_249","1352900","FABRICAÇÃO DE ARTEFATOS DE TAPEÇARIA"
"__export__.sped_cnae_250","1353700","FABRICAÇÃO DE ARTEFATOS DE CORDOARIA"
"__export__.sped_cnae_251","1354500","FABRICAÇÃO DE TECIDOS ESPECIAIS, INCLUSIVE ARTEFATOS"
"__export__.sped_cnae_252","1359600","FABRICAÇÃO DE OUTROS PRODUTOS TÊXTEIS NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_253","1411801","CONFECÇÃO DE ROUPAS ÍNTIMAS"
"__export__.sped_cnae_254","1411802","FACÇÃO DE ROUPAS ÍNTIMAS"
"__export__.sped_cnae_255","1412601","CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA"
"__export__.sped_cnae_256","1412602","CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
"__export__.sped_cnae_257","1412603","FACÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
"__export__.sped_cnae_258","1413401","CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA"
"__export__.sped_cnae_259","1413402","CONFECÇÃO, SOB MEDIDA, DE ROUPAS PROFISSIONAIS"
"__export__.sped_cnae_260","1413403","FACÇÃO DE ROUPAS PROFISSIONAIS"
"__export__.sped_cnae_261","1414200","FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO, EXCETO PARA SEGURANÇA E PROTEÇÃO"
"__export__.sped_cnae_262","1421500","FABRICAÇÃO DE MEIAS"
